##,Player,GS,MIN,REB,PF,A,TO,BLK,STL,PTS,ORB,DRB,FG_pct,3PT_pct,FT_pct,Team,Date,Won
24,"24 Leye,David",0,7,0,2,0,0,0,0,0,0,0,0,0,NA,CCNY,2026-01-28,1
22,"22 Cruz,Fabian",0,6,1,0,2,0,0,0,0,0,1,NA,NA,NA,CCNY,2026-01-28,1
TM,TM Team,0,0,6,0,0,1,0,0,0,5,1,NA,NA,NA,CCNY,2026-01-28,1
,Totals,NA,200,34,20,14,13,2,11,69,11,23,0.49056603773584906,0.42857142857142855,0.5789473684210527,CCNY,2026-01-28,1
22,"22 Hansen,Hudson",1,31,8,3,3,6,0,1,16,4,4,0.6666666666666666,0,0.6666666666666666,Middlebury,2026-01-24,1
23,"23 Rein,Jackson",1,33,8,1,0,2,0,0,15,1,7,0.5,0.5,0,Middlebury,2026-01-24,1
04,"04 Yates,Aidan",1,28,4,4,3,1,1,0,12,0,4,0.45454545454545453,0.4,NA,Middlebury,2026-01-24,1
01,"01 DeVine,Matt",1,24,0,0,1,1,2,1,10,0,0,0.625,0,NA,Middlebury,2026-01-24,1
05,"05 Cooley,Sammy",1,28,4,1,0,1,1,2,3,2,2,0.5,0,0.3333333333333333,Middlebury,2026-01-24,1
00,"00 Chibuogwu,Onyeraluobu",0,19,4,3,2,0,0,0,8,1,3,0.6,0.5,1,Middlebury,2026-01-24,1
33,"33 Sommers,EJ",0,17,6,0,1,2,0,1,7,3,3,0.14285714285714285,0,0.8333333333333334,Middlebury,2026-01-24,1
12,"12 Marshall,Solomon",0,6,1,2,2,0,0,0,2,0,1,0.3333333333333333,0,NA,Middlebury,2026-01-24,1
32,"32 Shepherd,Dylan",0,14,1,5,0,0,0,0,0,0,1,0,0,NA,Middlebury,2026-01-24,1
TM,TM TEAM,0,0,4,0,0,0,0,0,0,1,3,NA,NA,NA,Middlebury,2026-01-24,1
,Totals,NA,200,40,19,12,13,4,5,73,12,28,0.4745762711864407,0.2727272727272727,0.6470588235294118,Middlebury,2026-01-24,1
11,"11 Murray, Ian",1,32,9,1,4,1,0,0,13,2,7,0.35714285714285715,0.42857142857142855,0,Williams,2026-01-24,0
12,"12 Witherington, Edward",1,28,7,1,1,1,0,2,9,1,6,0.4,0.25,1,Williams,2026-01-24,0
02,"02 Flaks, Evan",1,18,1,1,0,2,0,1,9,0,1,0.4444444444444444,0.3333333333333333,NA,Williams,2026-01-24,0
21,"21 McKersie, Jackson",1,15,2,4,0,2,0,1,6,1,1,0.6666666666666666,NA,0.5,Williams,2026-01-24,0
